Project_Type,Hours_Estimated,Team_Size,Company_Size,Experience_Required,Project_Cost
Data Science,148,1,Mid-Market,Senior,18367.24
Data Science,149,2,Mid-Market,Junior,5768.05
SEO,79,1,Startup,Senior,4466.36
Web Development,67,2,Mid-Market,Junior,2624.35
SEO,48,2,Startup,Senior,3467.39
Data Science,116,5,Enterprise,Mid-Level,9743.22
Data Science,29,4,Mid-Market,Senior,5509.3
Web Development,261,4,Mid-Market,Mid-Level,15226.59
UI/UX Design,333,2,Mid-Market,Junior,6440.57
Mobile App,463,3,Enterprise,Senior,53580.69
Data Science,251,3,Mid-Market,Mid-Level,17018.67
Data Science,296,1,Startup,Junior,6839.27
UI/UX Design,303,1,Startup,Junior,4654.03
UI/UX Design,222,5,Mid-Market,Senior,19937.42
SEO,266,2,Mid-Market,Junior,5905.61
SEO,309,1,Enterprise,Mid-Level,11455.44
Mobile App,283,1,Enterprise,Junior,8995.44
Mobile App,462,2,Enterprise,Junior,15850.72
Web Development,233,5,Mid-Market,Mid-Level,13197.51
SEO,219,1,Enterprise,Junior,5920.66
Data Science,452,5,Enterprise,Junior,16583.55
SEO,98,4,Startup,Junior,2929.63
Data Science,420,5,Enterprise,Junior,22257.9
UI/UX Design,463,3,Startup,Mid-Level,17631.44
SEO,362,3,Startup,Junior,5868.85
UI/UX Design,363,5,Enterprise,Mid-Level,21939.91
Mobile App,192,3,Startup,Junior,5276.06
Mobile App,486,4,Mid-Market,Junior,12969.38
Web Development,88,2,Mid-Market,Junior,2784.95
SEO,435,3,Enterprise,Junior,10869.04
UI/UX Design,447,3,Mid-Market,Mid-Level,23252.32
Data Science,468,5,Startup,Mid-Level,30206.83
Mobile App,106,4,Mid-Market,Mid-Level,8719.59
Mobile App,120,2,Enterprise,Senior,13963.87
Data Science,27,5,Enterprise,Junior,3516.44
UI/UX Design,352,5,Startup,Junior,7691.59
UI/UX Design,219,4,Enterprise,Mid-Level,11315.25
SEO,106,2,Mid-Market,Senior,8585.77
SEO,62,4,Enterprise,Junior,3372.42
Web Development,404,2,Startup,Mid-Level,15010.0
Mobile App,128,4,Enterprise,Junior,5920.38
SEO,454,5,Mid-Market,Junior,10674.81
UI/UX Design,427,5,Startup,Mid-Level,15234.33
Data Science,171,1,Mid-Market,Mid-Level,13536.31
UI/UX Design,36,3,Startup,Junior,2005.33
Mobile App,152,4,Enterprise,Junior,7100.92
UI/UX Design,167,1,Startup,Mid-Level,5957.75
Web Development,296,3,Startup,Junior,7293.64
Mobile App,251,4,Enterprise,Junior,9136.27
Data Science,333,2,Mid-Market,Mid-Level,22188.9
Web Development,434,3,Enterprise,Junior,11084.49
Mobile App,385,5,Startup,Junior,9081.28
Data Science,247,1,Enterprise,Senior,41779.83
Web Development,158,3,Startup,Mid-Level,8098.17
Web Development,455,3,Enterprise,Senior,52730.91
Mobile App,418,5,Enterprise,Senior,54638.27
SEO,230,4,Mid-Market,Senior,15404.6
Web Development,410,2,Startup,Junior,8149.36
Web Development,47,5,Mid-Market,Junior,3350.83
Data Science,70,2,Startup,Senior,6813.5
UI/UX Design,461,4,Enterprise,Senior,43818.57
Mobile App,280,3,Startup,Senior,18630.21
Mobile App,280,2,Mid-Market,Junior,6791.71
SEO,369,1,Mid-Market,Senior,28569.95
SEO,371,1,Mid-Market,Senior,20523.77
Mobile App,27,5,Startup,Mid-Level,3527.81
SEO,339,4,Mid-Market,Mid-Level,14291.66
Data Science,157,5,Mid-Market,Junior,7268.36
Mobile App,57,5,Mid-Market,Mid-Level,5505.78
SEO,130,5,Enterprise,Mid-Level,7365.15
Mobile App,499,1,Enterprise,Mid-Level,38502.04
UI/UX Design,387,1,Startup,Junior,5825.9
Web Development,239,5,Startup,Mid-Level,12154.07
Mobile App,356,1,Mid-Market,Junior,8493.07
Web Development,242,4,Enterprise,Senior,29640.74
SEO,155,5,Mid-Market,Mid-Level,8803.21
Web Development,275,1,Mid-Market,Junior,5743.18
Mobile App,379,2,Enterprise,Mid-Level,29948.31
UI/UX Design,428,5,Enterprise,Senior,37238.54
SEO,348,5,Enterprise,Junior,9929.27
Mobile App,469,4,Startup,Junior,12105.39
SEO,482,3,Startup,Junior,7989.49
Data Science,453,3,Mid-Market,Senior,68940.23
Web Development,470,4,Startup,Senior,33807.67
Data Science,68,4,Enterprise,Senior,12220.52
Mobile App,311,4,Enterprise,Junior,14459.77
UI/UX Design,401,3,Startup,Senior,28371.06
SEO,343,4,Mid-Market,Mid-Level,12368.73
Web Development,97,1,Mid-Market,Senior,7651.49
SEO,124,5,Startup,Junior,3922.42
Mobile App,188,5,Mid-Market,Mid-Level,13307.44
SEO,236,2,Mid-Market,Senior,16966.68
Web Development,397,2,Mid-Market,Mid-Level,19871.61
Mobile App,138,5,Enterprise,Mid-Level,10608.61
SEO,209,1,Enterprise,Junior,4569.81
UI/UX Design,274,3,Startup,Mid-Level,10245.07
Mobile App,389,3,Enterprise,Mid-Level,23832.54
Mobile App,285,1,Mid-Market,Junior,6743.67
UI/UX Design,168,3,Enterprise,Junior,5964.44
Data Science,183,4,Startup,Junior,5709.45
Web Development,159,5,Enterprise,Mid-Level,13155.11
Data Science,366,5,Mid-Market,Mid-Level,29900.68
SEO,277,1,Mid-Market,Mid-Level,10182.08
UI/UX Design,393,3,Startup,Junior,6791.99
Data Science,288,2,Enterprise,Senior,49665.24
Mobile App,200,2,Enterprise,Mid-Level,13934.01
SEO,179,3,Enterprise,Senior,15293.71
SEO,370,2,Mid-Market,Junior,6905.87
Data Science,419,1,Startup,Mid-Level,18306.13
Data Science,307,1,Enterprise,Senior,41447.78
UI/UX Design,307,3,Mid-Market,Mid-Level,13541.02
Web Development,399,2,Mid-Market,Mid-Level,19809.11
Data Science,245,1,Mid-Market,Mid-Level,15711.9
Data Science,30,1,Enterprise,Senior,5087.52
Mobile App,29,4,Enterprise,Junior,2758.81
SEO,290,4,Enterprise,Mid-Level,16837.57
Web Development,292,1,Enterprise,Junior,8259.09
Mobile App,443,3,Enterprise,Junior,15748.06
UI/UX Design,421,5,Enterprise,Senior,43829.58
UI/UX Design,202,5,Enterprise,Senior,21554.92
Data Science,476,1,Enterprise,Junior,18165.92
Data Science,172,1,Enterprise,Mid-Level,17297.99
UI/UX Design,334,1,Mid-Market,Senior,24925.27
Data Science,353,3,Enterprise,Mid-Level,31962.42
Web Development,143,4,Startup,Mid-Level,7143.54
Data Science,492,1,Mid-Market,Mid-Level,33610.49
SEO,133,1,Enterprise,Junior,3217.78
Data Science,297,2,Startup,Mid-Level,17753.47
Mobile App,433,3,Enterprise,Junior,13745.29
Web Development,487,1,Startup,Junior,7619.71
Mobile App,232,2,Startup,Mid-Level,11582.92
Mobile App,191,5,Startup,Mid-Level,10631.36
SEO,307,1,Startup,Mid-Level,10200.47
Web Development,454,1,Mid-Market,Mid-Level,21765.34
Web Development,193,2,Mid-Market,Junior,4646.69
Web Development,132,3,Startup,Mid-Level,6525.29
Web Development,395,1,Enterprise,Mid-Level,26373.91
Web Development,424,5,Startup,Junior,9587.23
SEO,141,1,Mid-Market,Senior,10124.62
Data Science,51,5,Enterprise,Senior,10319.34
Mobile App,241,4,Mid-Market,Junior,8358.37
Web Development,138,4,Mid-Market,Senior,12398.92
Data Science,58,5,Enterprise,Junior,4838.58
Data Science,287,3,Startup,Mid-Level,20980.22
Mobile App,252,1,Startup,Mid-Level,11973.05
SEO,450,1,Startup,Senior,22570.68
UI/UX Design,37,4,Startup,Mid-Level,3148.06
UI/UX Design,168,5,Enterprise,Senior,18112.62
Data Science,416,1,Enterprise,Senior,70920.24
Mobile App,168,1,Enterprise,Mid-Level,12465.52
UI/UX Design,145,3,Mid-Market,Mid-Level,6991.65
Data Science,411,2,Enterprise,Senior,60946.56
SEO,321,4,Startup,Mid-Level,11385.37
UI/UX Design,379,4,Mid-Market,Junior,8850.92
Data Science,257,2,Startup,Mid-Level,15509.42
Data Science,154,1,Startup,Mid-Level,9578.98
Web Development,170,3,Enterprise,Junior,7125.49
SEO,255,3,Enterprise,Mid-Level,11689.21
Web Development,243,4,Startup,Mid-Level,11348.87
Mobile App,222,3,Startup,Senior,18717.21
Web Development,275,2,Mid-Market,Mid-Level,11092.34
Web Development,105,1,Enterprise,Mid-Level,7410.02
UI/UX Design,169,2,Mid-Market,Junior,4170.12
Data Science,254,5,Mid-Market,Senior,35417.81
SEO,364,4,Mid-Market,Senior,21337.03
Web Development,41,3,Startup,Senior,4066.16
SEO,367,5,Mid-Market,Mid-Level,14286.16
Web Development,304,3,Mid-Market,Senior,31080.66
Mobile App,288,1,Startup,Junior,6662.49
Web Development,485,1,Enterprise,Senior,47505.2
UI/UX Design,277,1,Enterprise,Junior,5985.78
Data Science,48,3,Mid-Market,Senior,7371.78
Mobile App,232,5,Startup,Senior,22264.03
Web Development,482,1,Enterprise,Junior,10857.63
SEO,455,5,Mid-Market,Senior,28906.67
Mobile App,302,3,Mid-Market,Senior,27286.69
Mobile App,69,5,Startup,Senior,8258.61
Web Development,114,3,Mid-Market,Mid-Level,6440.28
Mobile App,482,3,Enterprise,Junior,16045.24
SEO,426,4,Startup,Senior,24192.14
Mobile App,107,3,Enterprise,Junior,4545.19
SEO,63,3,Enterprise,Junior,2621.22
Web Development,480,2,Enterprise,Junior,15189.37
Data Science,297,1,Mid-Market,Senior,41352.3
Mobile App,190,4,Mid-Market,Senior,20567.56
Data Science,440,4,Enterprise,Junior,19592.7
SEO,208,4,Enterprise,Mid-Level,12961.92
Mobile App,372,2,Startup,Junior,8254.29
UI/UX Design,203,3,Startup,Mid-Level,7801.56
Data Science,22,1,Mid-Market,Junior,1162.6
Mobile App,210,5,Mid-Market,Junior,8242.16
Data Science,137,3,Startup,Junior,4805.53
Mobile App,38,2,Enterprise,Senior,5424.95
Web Development,42,3,Mid-Market,Mid-Level,3417.78
Data Science,432,3,Enterprise,Mid-Level,41895.61
UI/UX Design,49,2,Startup,Junior,1743.44
UI/UX Design,314,4,Mid-Market,Senior,25857.82
SEO,127,4,Mid-Market,Senior,9456.08
Mobile App,386,1,Startup,Mid-Level,18459.36
Data Science,300,1,Mid-Market,Senior,36602.48
SEO,147,4,Startup,Mid-Level,5932.26
Data Science,248,5,Mid-Market,Mid-Level,20515.84
Mobile App,130,3,Startup,Mid-Level,6861.24
UI/UX Design,155,5,Mid-Market,Senior,11903.08
Web Development,381,3,Enterprise,Mid-Level,21558.31
UI/UX Design,205,4,Enterprise,Mid-Level,12597.2
SEO,163,1,Enterprise,Junior,4086.47
Web Development,91,1,Mid-Market,Mid-Level,4241.16
SEO,148,5,Mid-Market,Mid-Level,7699.78
Mobile App,383,1,Enterprise,Junior,10995.8
Web Development,280,4,Enterprise,Junior,9994.92
SEO,22,5,Startup,Senior,3819.84
Mobile App,468,3,Startup,Mid-Level,24971.18
UI/UX Design,407,1,Startup,Senior,26205.42
Mobile App,123,2,Enterprise,Senior,17674.39
Data Science,243,1,Enterprise,Junior,8013.48
Mobile App,339,3,Enterprise,Senior,44556.77
Mobile App,381,5,Startup,Mid-Level,18142.67
Data Science,373,3,Mid-Market,Junior,13675.24
SEO,492,2,Enterprise,Mid-Level,18182.63
SEO,29,4,Mid-Market,Mid-Level,3064.15
Mobile App,424,1,Mid-Market,Junior,10457.78
Data Science,403,5,Mid-Market,Mid-Level,32744.91
Data Science,321,4,Startup,Junior,10896.57
UI/UX Design,250,3,Mid-Market,Mid-Level,10684.54
SEO,238,5,Enterprise,Junior,7012.93
Web Development,430,4,Startup,Senior,30154.33
SEO,85,5,Enterprise,Mid-Level,7167.69
SEO,444,2,Enterprise,Junior,10290.74
UI/UX Design,131,2,Startup,Mid-Level,4701.47
Web Development,32,1,Enterprise,Mid-Level,2258.58
UI/UX Design,412,1,Enterprise,Mid-Level,22631.42
Web Development,439,2,Startup,Junior,8192.72
Mobile App,105,5,Enterprise,Senior,14681.36
Web Development,253,2,Mid-Market,Senior,19973.4
UI/UX Design,109,1,Enterprise,Senior,9700.97
SEO,333,2,Mid-Market,Junior,6936.02
Web Development,73,2,Enterprise,Senior,7958.24
Web Development,31,5,Startup,Junior,2972.95
Data Science,228,4,Startup,Mid-Level,13704.71
SEO,481,1,Enterprise,Mid-Level,19395.66
Mobile App,33,5,Startup,Senior,4815.58
UI/UX Design,140,2,Enterprise,Junior,4678.34
Mobile App,437,2,Startup,Mid-Level,17595.46
SEO,456,4,Mid-Market,Junior,8592.93
Web Development,396,1,Enterprise,Junior,9424.01
Web Development,39,1,Mid-Market,Mid-Level,2239.1
SEO,94,3,Mid-Market,Junior,3287.58
Web Development,419,1,Enterprise,Mid-Level,24686.25
Web Development,262,4,Mid-Market,Mid-Level,13868.71
Web Development,242,3,Enterprise,Mid-Level,14530.89
UI/UX Design,89,3,Mid-Market,Junior,3092.13
UI/UX Design,331,2,Enterprise,Mid-Level,20569.03
Data Science,230,2,Enterprise,Junior,10098.19
Mobile App,120,1,Startup,Mid-Level,6789.11
SEO,205,3,Enterprise,Mid-Level,12302.34
SEO,151,2,Enterprise,Senior,13454.76
SEO,130,4,Mid-Market,Senior,10231.98
Data Science,400,2,Enterprise,Senior,73576.96
UI/UX Design,151,2,Startup,Junior,3204.26
Data Science,39,3,Mid-Market,Junior,2834.84
SEO,413,3,Mid-Market,Mid-Level,19345.92
Mobile App,43,5,Startup,Mid-Level,4319.66
Web Development,246,4,Mid-Market,Mid-Level,13459.61
UI/UX Design,173,3,Mid-Market,Mid-Level,9193.14
UI/UX Design,312,1,Mid-Market,Junior,6547.03
Data Science,249,4,Mid-Market,Mid-Level,20085.69
UI/UX Design,488,4,Startup,Mid-Level,15702.82
SEO,329,3,Startup,Senior,16915.66
SEO,378,4,Mid-Market,Mid-Level,14934.04
Data Science,424,3,Mid-Market,Mid-Level,33595.67
SEO,221,2,Startup,Mid-Level,6578.51
Mobile App,57,5,Startup,Junior,3761.1
Data Science,449,2,Startup,Senior,47465.4
Mobile App,279,3,Mid-Market,Mid-Level,18304.96
Web Development,207,3,Mid-Market,Mid-Level,9949.14
Mobile App,76,2,Enterprise,Senior,10553.38
Web Development,448,1,Startup,Mid-Level,17110.13
Web Development,39,1,Mid-Market,Junior,1299.89
Mobile App,292,1,Startup,Mid-Level,13487.35
Data Science,138,3,Mid-Market,Junior,5525.52
SEO,90,4,Startup,Junior,3167.58
SEO,23,3,Mid-Market,Mid-Level,2413.58
Web Development,240,4,Enterprise,Senior,24048.39
Web Development,33,2,Enterprise,Junior,1990.74
Data Science,22,5,Startup,Senior,4819.38
UI/UX Design,235,4,Mid-Market,Mid-Level,10598.87
Mobile App,248,1,Mid-Market,Junior,6680.46
Web Development,355,3,Startup,Mid-Level,15432.12
SEO,205,2,Mid-Market,Senior,12499.3
Data Science,74,1,Startup,Mid-Level,4512.77
Mobile App,407,2,Mid-Market,Mid-Level,22805.44
Data Science,395,5,Startup,Junior,11367.99
Mobile App,273,3,Mid-Market,Mid-Level,16378.15
Mobile App,43,3,Startup,Mid-Level,3246.09
Web Development,181,5,Mid-Market,Mid-Level,11764.37
Data Science,177,3,Enterprise,Junior,7970.43
Data Science,101,4,Mid-Market,Senior,15079.88
SEO,422,2,Startup,Senior,19029.71
SEO,178,1,Enterprise,Mid-Level,8695.61
Web Development,207,5,Mid-Market,Junior,6645.1
Web Development,79,4,Enterprise,Mid-Level,6531.71
UI/UX Design,422,1,Mid-Market,Senior,29679.83
SEO,324,1,Enterprise,Junior,6789.35
Mobile App,338,5,Startup,Senior,30417.07
Data Science,385,4,Mid-Market,Senior,52817.5
Web Development,230,1,Mid-Market,Junior,5062.21
Data Science,425,1,Startup,Junior,9581.43
Data Science,171,4,Enterprise,Mid-Level,19697.12
UI/UX Design,128,3,Startup,Mid-Level,5282.33
SEO,95,1,Startup,Senior,4654.14
Web Development,49,2,Enterprise,Junior,2017.59
Data Science,333,4,Startup,Junior,10071.48
Web Development,136,1,Mid-Market,Mid-Level,6486.94
Mobile App,434,5,Mid-Market,Senior,48459.38
UI/UX Design,375,2,Mid-Market,Senior,29649.93
Mobile App,211,1,Startup,Mid-Level,9879.72
Web Development,38,2,Mid-Market,Junior,1739.38
Web Development,451,2,Mid-Market,Mid-Level,23547.7
SEO,192,3,Mid-Market,Mid-Level,9702.74
Data Science,247,2,Mid-Market,Mid-Level,19354.72
Data Science,369,3,Mid-Market,Mid-Level,25252.96
Mobile App,202,4,Mid-Market,Junior,7226.9
UI/UX Design,132,3,Startup,Mid-Level,5604.83
Data Science,202,5,Mid-Market,Junior,7890.33
SEO,165,1,Mid-Market,Mid-Level,5905.97
Mobile App,338,4,Enterprise,Senior,42671.52
Mobile App,135,4,Startup,Junior,4618.95
SEO,132,5,Startup,Senior,10651.02
UI/UX Design,270,3,Startup,Mid-Level,9476.7
SEO,495,1,Startup,Mid-Level,16642.77
UI/UX Design,270,3,Mid-Market,Mid-Level,12088.08
SEO,322,2,Mid-Market,Junior,5113.16
SEO,478,3,Enterprise,Senior,39258.35
Web Development,332,4,Enterprise,Junior,11647.72
Mobile App,137,1,Startup,Junior,3221.06
SEO,320,3,Enterprise,Mid-Level,17081.71
SEO,180,1,Enterprise,Senior,17465.57
Data Science,420,1,Startup,Mid-Level,20829.59
Mobile App,217,2,Startup,Junior,4728.2
Data Science,279,2,Enterprise,Mid-Level,19940.13
Mobile App,167,4,Mid-Market,Senior,19438.14
Data Science,259,5,Enterprise,Mid-Level,26505.62
SEO,66,1,Enterprise,Senior,6388.74
SEO,494,5,Mid-Market,Senior,30375.79
Web Development,418,4,Mid-Market,Mid-Level,17792.41
Data Science,217,1,Startup,Junior,5020.74
UI/UX Design,66,1,Startup,Mid-Level,2441.12
Web Development,97,5,Enterprise,Junior,5413.91
Data Science,143,3,Mid-Market,Junior,6219.05
Data Science,94,2,Startup,Mid-Level,5843.41
Web Development,378,3,Enterprise,Junior,11622.1
SEO,156,5,Mid-Market,Junior,4826.68
Data Science,109,2,Enterprise,Mid-Level,10913.17
SEO,419,3,Startup,Mid-Level,12193.84
Web Development,344,2,Startup,Mid-Level,14313.11
SEO,80,1,Mid-Market,Junior,1671.24
Mobile App,157,3,Enterprise,Senior,22672.68
UI/UX Design,69,2,Mid-Market,Junior,2188.91
Data Science,278,2,Startup,Senior,25579.45
UI/UX Design,480,2,Startup,Mid-Level,19060.53
SEO,126,3,Enterprise,Senior,12168.7
Data Science,132,4,Enterprise,Mid-Level,13209.82
SEO,369,3,Enterprise,Mid-Level,20078.51
Mobile App,273,5,Mid-Market,Senior,25196.15
Web Development,137,3,Enterprise,Mid-Level,10401.6
Data Science,217,2,Enterprise,Senior,34379.95
Mobile App,356,1,Startup,Mid-Level,16803.16
Mobile App,384,3,Startup,Junior,7731.58
Data Science,70,3,Enterprise,Junior,4125.6
SEO,264,2,Enterprise,Mid-Level,13360.86
Mobile App,422,1,Startup,Mid-Level,20608.68
UI/UX Design,445,1,Enterprise,Senior,44986.05
Mobile App,54,5,Mid-Market,Junior,3745.13
SEO,321,3,Mid-Market,Senior,22697.19
SEO,429,1,Mid-Market,Mid-Level,17884.65
UI/UX Design,88,1,Enterprise,Mid-Level,5040.54
Mobile App,368,4,Startup,Senior,29389.47
SEO,339,4,Enterprise,Mid-Level,14867.15
Data Science,440,1,Enterprise,Junior,17181.11
Web Development,487,5,Startup,Senior,28245.93
Web Development,68,1,Startup,Junior,1575.56
Web Development,424,2,Startup,Junior,8454.35
Mobile App,93,3,Mid-Market,Junior,3258.9
UI/UX Design,211,5,Enterprise,Senior,24687.11
SEO,280,2,Startup,Mid-Level,8797.71
Data Science,375,5,Enterprise,Junior,17085.27
Data Science,89,2,Mid-Market,Junior,3535.85
Mobile App,109,3,Mid-Market,Junior,3667.82
Web Development,279,3,Startup,Mid-Level,10757.57
Mobile App,145,4,Startup,Mid-Level,9577.82
UI/UX Design,250,2,Enterprise,Senior,21835.25
UI/UX Design,314,4,Startup,Mid-Level,10557.48
SEO,438,2,Enterprise,Senior,37956.49
SEO,148,4,Startup,Senior,9512.6
UI/UX Design,299,3,Enterprise,Senior,28581.52
UI/UX Design,332,5,Enterprise,Senior,33620.1
